Id,Label,timeset,modularity_class,componentnumber,strongcompnum,clustering
9907233,,,9,0,7779,0.131868
9301253,,,9,0,4,0.06166
9504304,,,9,0,4911,0.063447
9505235,,,9,0,5256,0.106719
9506257,,,9,0,4341,0.027273
9606402,,,9,0,6143,0.1
9607354,,,9,0,6144,0.158103
9611297,,,9,0,7779,0.081105
9702314,,,9,0,7779,0.058772
9704296,,,9,0,7779,0.138095
9803214,,,9,0,7779,0.158009
9903217,,,9,0,7779,0.095513
9311274,,,9,0,72,0.029596
9502335,,,0,0,7779,0.036157
9611296,,,9,0,6250,0.152778
9612258,,,9,0,7779,0.2
9301203,,,9,0,3208,0.125
9301206,,,9,0,3676,0
9502274,,,0,0,6142,0.083333
9503474,,,0,0,3209,0.079051
9302247,,,9,0,33,0.028297
9501357,,,9,0,97,0.022838
9501384,,,9,0,7779,0.02097
9502366,,,9,0,167,0.025026
9504372,,,9,0,8,0.032581
9511210,,,9,0,9,0.024538
9610453,,,9,0,3,0
9706487,,,9,0,7779,0.13
9211239,,,2,0,329,0.031884
9302217,,,9,0,25,0.057641
9405341,,,9,0,34,0.0625
9409335,,,0,0,1641,0.051564
9409371,,,0,0,7779,0.051587
9411285,,,0,0,2280,0.034945
9508393,,,9,0,2270,0.113636
9602366,,,0,0,7779,0.022036
9606210,,,9,0,5255,0
9610360,,,9,0,7779,0.070396
9605245,,,9,0,6084,0.163158
9610282,,,9,0,6085,0.237179
9803242,,,9,0,7779,0.074164
9804209,,,9,0,7779,0.046902
9805334,,,9,0,7779,0.071429
112133,,,0,0,7786,0.154167
2171,,,0,0,7779,0.045918
12308,,,0,0,7779,0.030559
104062,,,0,0,7779,0.043177
104110,,,0,0,7779,0.042742
112008,,,0,0,7785,0.026554
9403384,,,0,0,1168,0.059176
9501265,,,0,0,1843,0.082195
9512380,,,0,0,7779,0.013572
9607469,,,0,0,7193,0.15
9711261,,,0,0,7779,0.045455
9712252,,,0,0,7779,0.092885
9910236,,,0,0,7779,0.116346
9810333,,,0,0,7779,0.05
9901418,,,0,0,7779,0.238095
9908432,,,0,0,7779,0.084413
9911280,,,0,0,7779,0.145349
9210215,,,0,0,22,0.119048
9211304,,,0,0,21,0.033463
9211321,,,0,0,20,0.040761
9212203,,,0,0,18,0.062008
9303284,,,0,0,19,0.042932
9304257,,,0,0,1109,0.028747
9406263,,,0,0,1561,0.047869
1113,,,0,0,7779,0.047485
1297,,,0,0,7779,0.08672
2227,,,0,0,7779,0.111336
3323,,,0,0,7779,0.163275
4004,,,0,0,7779,0.059524
4173,,,0,0,7779,0.050032
4213,,,0,0,7779,0.095745
5006,,,0,0,7779,0.12312
6001,,,0,0,7779,0.099974
6022,,,0,0,7779,0.104039
6124,,,0,0,7779,0.030543
6225,,,0,0,7779,0.153153
6351,,,0,0,7779,0.122695
6357,,,0,0,7779,0.116667
7038,,,0,0,7779,0.157143
7136,,,0,0,7779,0.107143
7256,,,0,0,7779,0.106383
7360,,,0,0,7779,0.12766
8004,,,0,0,7779,0.105442
8009,,,0,0,7779,0.113636
8018,,,0,0,7779,0.12892
8159,,,0,0,7779,0.136863
8216,,,0,0,7779,0.301282
8255,,,0,0,7779,0.072122
8273,,,0,0,7779,0.128183
9042,,,0,0,7779,0.167692
9054,,,0,0,7779,0.120833
9210,,,0,0,7779,0.17033
11238,,,0,0,7779,0.148718
11358,,,0,0,7779,0.131868
12152,,,0,0,7779,0.166113
12208,,,0,0,7779,0.150106
12271,,,0,0,7779,0.108974
101118,,,0,0,7779,0.114983
101190,,,0,0,7779,0.163743
102012,,,0,0,7779,0.154762
102077,,,0,0,7779,0.256917
102219,,,4,0,7779,0.127907
103020,,,0,0,7779,0.169048
103211,,,0,0,7779,0.151003
104018,,,0,0,7779,0.095238
9309283,,,0,0,1355,0.091539
9404282,,,0,0,1357,0.056026
9408404,,,0,0,1619,0.07017
9411308,,,0,0,3179,0.102186
9509204,,,0,0,7779,0.095143
9607366,,,0,0,7779,0.069124
9607447,,,0,0,7779,0.072581
9703353,,,0,0,7779,0.061581
9704423,,,0,0,7779,0.072775
9705292,,,0,0,7779,0.032475
9707251,,,0,0,7779,0.046276
9712225,,,0,0,7779,0.068369
9712306,,,0,0,7779,0.10299
