Source,Target
109230,9610400
109230,9711360
109230,106179
109230,9704452
109230,9805473
109230,9809547
109230,9610477
109230,12142
109230,9902449
109230,9904310
109230,11159
109230,11160
109230,9905242
109230,9802238
103002,9804416
103002,9602281
103002,3146
103002,9603404
103002,9907501
103002,9512303
103002,9407344
103002,9506201
103002,102138
103002,5275
103002,9512252
103002,9604351
202074,9708483
202074,106247
202074,110089
202074,9806540
202074,8334
202074,9808272
202074,105297
202074,110307
202074,103318
202074,109017
202074,9912475
202074,10335
202074,9810467
202074,9808293
202074,9904297
202074,111150
202074,9806387
202074,9806518
202074,9909431
202074,9909304
202074,9807353
202074,9812475
202077,9903520
202077,9603397
202077,10345
202077,9706410
202077,9509239
202077,9906284
202077,9902318
202077,9705264
202077,9906546
202077,9612435
202077,106037
202077,9912534
202077,2071
202077,9812478
202077,9709499
202077,9906204
202077,108061
202077,9612318
202077,108095
9802431,9612353
9802431,9708350
9802431,9703358
9802431,9702408
9802431,9703305
9802431,9703359
9802431,9610267
9802431,9710413
9802431,9709358
9802431,9705295
109242,9905474
109242,9905221
109242,1031
109242,9904267
109242,2257
109242,110163
109242,11097
109242,107119
109242,108060
109242,9807264
109242,103201
109242,9812260
109242,109287
109242,106219
109242,109106
109242,9804398
109242,110127
109242,9807344
109242,102065
109242,9903282
109242,110067
109242,106295
109242,9811323
109242,9903422
9306209,9205220
109243,9903456
109243,9806468
109243,6022
109243,106081
109243,6124
109243,105292
109243,9910221
109243,105103
109243,106067
109243,9810260
109243,9802391
109243,9612313
109243,105308
109243,9809311
109243,9905312
109243,9712225
109243,104034
109243,9604387
109243,9704423
109243,9602281
109243,103211
109243,9812396
109243,9712306
109243,104110
109243,103087
109243,9810482
109243,10003
109243,104126
109243,6136
109243,12308
109243,9337
109243,104062
109243,9710335
9510293,9405218
9510293,9506253
9710270,9705264
9710270,9608434
9710270,9709379
9710270,9703449
9710270,9611433
9710270,9706410
9710270,9702379
9710270,9703420
9710270,9606314
9710270,9604441
9710270,9704207
9710271,9608272
9710271,9704416
9710271,9605288
9710271,9612286
202090,12352
202090,202107
202090,106166
202090,102301
202090,201148
202090,110346
202090,9911293
202090,106190
202090,11311
202090,9806292
202090,103125
202090,112054
202090,9902423
202090,202136
202090,9911323
202090,111068
202090,12125
9901420,9702216
9901420,9609448
9901420,9711371
9901420,9812316
9901420,9606443
9901423,9709420
9901423,9612285
9711256,9701422
9711256,9707341
9711256,9710214
9711256,9610269
9510447,9507248
9601202,9511409
9601202,9503414
9601202,9412265
9601202,9407226
9601202,9409371
9601202,9502300
9601204,9508272
9601204,9509204
9601204,9504269
9601204,9509287
109257,5274
109257,109239
9601208,9512288
9601208,9508258
9601208,9510372
9601208,9510246
9601208,9501222
9601208,9505385
9601208,9506217
9601208,9511266
9601208,9512396
9601208,9511469
9601208,9505326
9601208,9507261
9601208,9511426
9601208,9505207
9601208,9507386
9601208,9506459
9601208,9511324
9601208,9508253
9601208,9511326
9601208,9512383
9901428,9802304
9901428,9805346
9901428,9804228
9901428,9803333
9901428,9804425
9901428,9809547
9901428,9804429
9901428,9701423
9901428,9610477
9901428,9805209
9901428,9810361
9901428,9801306
9901428,9804285
9901428,9802238
9901428,9710431
9601214,9508233
9601214,9507274
9601215,9412265
9601215,9405218
9601215,9411229
9810506,9704217
9810506,9703391
9810506,9610463
9810506,9704215
9601222,9512425
9601222,9502273
9601222,9508338
9601222,9512227
9601222,9510372
