Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,clustering,componentnumber,strongcompnum,indegree,outdegree,Degree
9907233,,,29,0.090653,0.109623,93871.433048,0.001979,0.131868,0,7779,3,11,14
9301253,,,0,0,0,0,0.047894,0.06166,0,4,59,0,59
9504304,,,0,0,0,0,0.017626,0.063447,0,4911,33,0,33
9505235,,,0,0,0,0,0.012813,0.106719,0,5256,23,0,23
9506257,,,1,1,1,21.14107,0.006564,0.027273,0,4341,10,1,11
9606402,,,3,0.615385,0.770833,25147.912185,0.010749,0.1,0,6143,21,5,26
9607354,,,4,0.454545,0.583333,18.102381,0.009215,0.158103,0,6144,20,3,23
9611297,,,29,0.090897,0.110581,268654.881991,0.011392,0.081105,0,7779,22,12,34
9702314,,,28,0.096398,0.11645,1922361.042087,0.050575,0.058772,0,7779,69,7,76
9704296,,,30,0.086424,0.106768,51391.755719,0.003884,0.138095,0,7779,8,7,15
9803214,,,29,0.088847,0.104476,28527.863598,0.011926,0.158009,0,7779,19,3,22
9903217,,,29,0.088557,0.105061,326537.946469,0.016512,0.095513,0,7779,31,9,40
9311274,,,0,0,0,0,0.109877,0.029596,0,72,100,0,100
9502335,,,32,0.078884,0.105821,5704235.183844,0.120896,0.036157,0,7779,106,15,121
9611296,,,4,0.339623,0.435185,429.387965,0.003425,0.152778,0,6250,6,3,9
9612258,,,30,0.083328,0.097771,1.142857,0.000623,0.2,0,7779,1,4,5
9301203,,,0,0,0,0,0.004677,0.125,0,3208,8,0,8
9301206,,,0,0,0,0,0.002312,0,0,3676,3,0,3
9502274,,,0,0,0,0,0.003016,0.083333,0,6142,4,0,4
9503474,,,2,0.666667,0.75,17333.940962,0.013973,0.079051,0,3209,21,2,23
9302247,,,2,0.9,0.944444,48381.492031,0.110538,0.028297,0,33,97,8,105
9501357,,,4,0.669565,0.790043,447707.414764,0.113684,0.022838,0,97,118,47,165
9501384,,,27,0.106465,0.133344,90901082.45784,0.126456,0.02097,0,7779,179,22,201
9502366,,,5,0.455587,0.546017,568419.740546,0.108668,0.025026,0,167,119,34,153
9504372,,,2,0.8,0.875,51124.38698,0.10511,0.032581,0,8,130,3,133
9511210,,,3,0.5,0.566667,2436.753571,0.114085,0.024538,0,9,161,1,162
9610453,,,2,0.6,0.666667,1752.623656,0.002836,0,0,3,1,1,2
9706487,,,29,0.090203,0.10852,81178.350301,0.015352,0.13,0,7779,17,8,25
9211239,,,0,0,0,0,0.048044,0.031884,0,329,46,0,46
9302217,,,0,0,0,0,0.098931,0.057641,0,25,62,0,62
9405341,,,3,0.526316,0.583333,7611.705967,0.093912,0.0625,0,34,78,2,80
9409335,,,4,0.454545,0.547222,115768.534289,0.177223,0.051564,0,1641,108,7,115
9409371,,,37,0.058452,0.073494,3090914.936579,0.11857,0.051587,0,7779,61,3,64
9411285,,,1,1,1,2182.796338,0.124295,0.034945,0,2280,101,1,102
9508393,,,3,0.428571,0.511111,19247.849276,0.036365,0.113636,0,2270,30,3,33
9602366,,,38,0.055411,0.069971,1123188.940056,0.118063,0.022036,0,7779,133,22,155
9606210,,,0,0,0,0,0.001036,0,0,5255,1,0,1
9610360,,,28,0.099407,0.125359,2175833.747028,0.037953,0.070396,0,7779,42,31,73
9605245,,,1,1,1,1.416667,0.012345,0.163158,0,6084,19,1,20
9610282,,,1,1,1,1859.678578,0.008195,0.237179,0,6085,11,2,13
9803242,,,29,0.089225,0.10617,722071.895071,0.054215,0.074164,0,7779,72,9,81
9804209,,,28,0.097075,0.119099,1378038.143509,0.062696,0.046902,0,7779,93,15,108
9805334,,,29,0.088694,0.105942,56988.798993,0.027676,0.071429,0,7779,45,12,57
112133,,,20,0.173565,0.196542,38620.201086,0.002662,0.154167,0,7786,4,12,16
2171,,,25,0.114453,0.139637,157194.075542,0.045811,0.045918,0,7779,44,5,49
12308,,,25,0.125981,0.165386,1283267.972129,0.090352,0.030559,0,7779,125,41,166
104062,,,22,0.158229,0.198087,1029270.021043,0.060987,0.043177,0,7779,91,61,152
104110,,,22,0.161531,0.200681,2891261.843548,0.084571,0.042742,0,7779,142,81,223
112008,,,19,0.201642,0.235777,104603.358685,0.002452,0.026554,0,7785,5,55,60
9403384,,,2,0.564103,0.613636,37524.78959,0.222616,0.059176,0,1168,118,5,123
9501265,,,5,0.372093,0.498438,11855.949878,0.177797,0.082195,0,1843,87,8,95
9512380,,,31,0.082306,0.110681,3518630.071169,0.652403,0.013572,0,7779,550,85,635
9607469,,,7,0.302817,0.374086,14.926459,0.005318,0.15,0,7193,2,3,5
9711261,,,32,0.076383,0.100245,219622.067169,0.051986,0.045455,0,7779,31,13,44
9712252,,,30,0.087049,0.113724,290675.412913,0.027886,0.092885,0,7779,16,7,23
9910236,,,24,0.127829,0.160137,527088.959315,0.037642,0.116346,0,7779,31,34,65
9810333,,,31,0.082372,0.110147,133807.446965,0.069205,0.05,0,7779,52,9,61
9901418,,,31,0.083702,0.11406,1336.511146,0.007959,0.238095,0,7779,3,4,7
9908432,,,29,0.100534,0.139067,563906.056476,0.01327,0.084413,0,7779,13,61,74
9911280,,,24,0.126147,0.158244,207397.740303,0.045078,0.145349,0,7779,32,12,44
9210215,,,0,0,0,0,0.031003,0.119048,0,22,7,0,7
9211304,,,0,0,0,0,0.30617,0.033463,0,21,189,0,189
9211321,,,0,0,0,0,0.282919,0.040761,0,20,165,0,165
9212203,,,0,0,0,0,0.286999,0.062008,0,18,131,0,131
9303284,,,1,1,1,807.559496,0.364269,0.042932,0,19,190,1,191
9304257,,,1,1,1,1359.429851,0.481451,0.028747,0,1109,271,1,272
9406263,,,2,0.777778,0.857143,13225.208877,0.100395,0.047869,0,1561,49,5,54
1113,,,24,0.119893,0.145318,200985.673943,0.03126,0.047485,0,7779,46,25,71
1297,,,23,0.132443,0.161178,2025481.164021,0.030334,0.08672,0,7779,37,17,54
2227,,,26,0.116605,0.153334,265053.744579,0.009392,0.111336,0,7779,7,32,39
3323,,,24,0.127068,0.161947,137246.079044,0.029267,0.163275,0,7779,31,36,67
4004,,,32,0.078826,0.106021,11328.205707,0.11437,0.059524,0,7779,133,8,141
4173,,,25,0.119965,0.155626,457892.596756,0.119694,0.050032,0,7779,158,55,213
4213,,,26,0.112391,0.14629,97099.099353,0.062404,0.095745,0,7779,70,26,96
5006,,,26,0.110844,0.141612,32378.842289,0.038566,0.12312,0,7779,40,17,57
6001,,,26,0.111896,0.144185,26344.428893,0.058496,0.099974,0,7779,67,23,90
6022,,,26,0.11309,0.145843,150657.018302,0.038707,0.104039,0,7779,46,22,68
6124,,,31,0.094306,0.142575,785221.408562,0.16086,0.030543,0,7779,216,71,287
6225,,,25,0.121435,0.153689,459862.909853,0.016039,0.153153,0,7779,13,24,37
6351,,,26,0.112978,0.148821,15018.362197,0.03349,0.122695,0,7779,32,37,69
6357,,,24,0.129033,0.159207,29934.55491,0.004864,0.116667,0,7779,1,15,16
7038,,,26,0.113019,0.143918,114384.678605,0.022186,0.157143,0,7779,27,9,36
7136,,,26,0.111385,0.140691,29185.342498,0.007454,0.107143,0,7779,6,15,21
7256,,,25,0.115698,0.144499,72726.254802,0.03956,0.106383,0,7779,37,10,47
7360,,,24,0.1304,0.166904,527623.381216,0.028728,0.12766,0,7779,26,21,47
8004,,,24,0.121881,0.149093,311072.488235,0.033468,0.105442,0,7779,30,19,49
8009,,,24,0.136108,0.17428,166890.297469,0.036406,0.113636,0,7779,34,22,56
8018,,,23,0.13469,0.171896,507542.951883,0.030576,0.12892,0,7779,28,14,42
8159,,,25,0.118434,0.155162,71003.803674,0.020916,0.136863,0,7779,23,28,51
8216,,,24,0.122518,0.146395,13457.202808,0.009171,0.301282,0,7779,7,6,13
8255,,,23,0.135761,0.166499,595496.729943,0.064008,0.072122,0,7779,85,17,102
8273,,,24,0.14046,0.181366,251797.136525,0.04467,0.128183,0,7779,44,24,68
9042,,,31,0.087433,0.129776,42479.761701,0.006929,0.167692,0,7779,6,20,26
9054,,,32,0.079617,0.109294,27170.91712,0.00616,0.120833,0,7779,4,12,16
9210,,,31,0.084122,0.115471,1572.020288,0.005778,0.17033,0,7779,2,12,14
11238,,,26,0.112264,0.145537,10355.699348,0.017746,0.148718,0,7779,21,19,40
11358,,,32,0.077174,0.101231,49650.379411,0.006498,0.131868,0,7779,4,10,14
12152,,,23,0.14356,0.173698,347768.09299,0.023816,0.166113,0,7779,28,16,44
12208,,,26,0.117182,0.15614,56335.449613,0.012813,0.150106,0,7779,15,29,44
12271,,,24,0.136884,0.175744,256122.519286,0.022448,0.108974,0,7779,29,23,52
101118,,,26,0.11557,0.150079,30281.205137,0.014627,0.114983,0,7779,16,26,42
