Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,modularity_class,eigencentrality
109230,,,4,14,18,4,14,18,27,0.095116,0.120684,0.000406,0.143791,0,0.002626
9610400,,,54,1,55,54,1,55,37,0.049924,0.05438,0.000239,0.119865,0,0.095265
9711360,,,22,10,32,22,10,32,35,0.056063,0.065956,0.000177,0.095766,0,0.02335
106179,,,1,2,3,1,2,3,36,0.053536,0.061507,0.000315,0.333333,0,0.000749
9704452,,,112,6,118,112,6,118,37,0.049944,0.054806,0.000512,0.053383,0,0.143568
9805473,,,38,8,46,38,8,46,32,0.067764,0.088214,0.000462,0.09372,0,0.055257
9809547,,,27,14,41,27,14,41,32,0.068021,0.088287,0.000189,0.118902,0,0.0347
9610477,,,56,2,58,56,2,58,37,0.049927,0.054454,0.00023,0.107683,0,0.113095
12142,,,9,12,21,9,12,21,27,0.088706,0.111056,0.001331,0.109524,0,0.005705
9902449,,,24,13,37,24,13,37,26,0.09344,0.116661,0.001723,0.077327,0,0.018447
9904310,,,30,17,47,30,17,47,26,0.100545,0.127086,0.002602,0.085106,2,0.036958
11159,,,2,7,9,2,7,9,28,0.081786,0.098203,0.000287,0.305556,0,0.001784
11160,,,7,7,14,7,7,14,27,0.088033,0.107709,0.000716,0.175824,0,0.005066
9905242,,,40,29,69,40,29,69,27,0.094826,0.128284,0.00303,0.097826,0,0.046912
9802238,,,60,8,68,60,8,68,32,0.067607,0.08757,0.000457,0.082309,0,0.090403
103002,,,3,12,15,3,12,15,25,0.102653,0.120848,0.000097,0.171429,1,0.001711
9804416,,,7,8,15,7,8,15,32,0.068001,0.088954,0.000216,0.142857,1,0.007793
9602281,,,96,3,99,96,3,99,40,0.044441,0.049693,0.000075,0.070501,7,0.313535
3146,,,7,15,22,7,15,22,24,0.107472,0.126498,0.000091,0.162338,1,0.004905
9603404,,,125,3,128,125,3,128,40,0.044441,0.049693,0.000157,0.061885,7,0.375836
9907501,,,6,4,10,6,4,10,33,0.063726,0.079373,0.000005,0.3,1,0.004841
9512303,,,26,2,28,26,2,28,39,0.046488,0.052143,0.000007,0.134921,1,0.049614
9407344,,,56,1,57,56,1,57,38,0.048751,0.055477,0.009716,0.052945,1,0.154088
9506201,,,33,1,34,33,1,34,39,0.046486,0.052072,0.002591,0.112299,1,0.142382
102138,,,1,7,8,1,7,8,25,0.102628,0.120518,0,0.321429,1,0.000678
5275,,,12,32,44,12,32,44,24,0.113366,0.137093,0.000799,0.092495,1,0.008734
9512252,,,70,4,74,70,4,74,40,0.04444,0.0497,0.000048,0.123288,7,0.283972
9604351,,,88,17,105,88,17,105,38,0.048784,0.057072,0.001291,0.063004,5,0.151792
202074,,,4,22,26,4,22,26,22,0.148047,0.176626,0.000097,0.093846,2,0.00245
9708483,,,94,3,97,94,3,97,41,0.041912,0.045817,0.000011,0.051117,2,0.220563
106247,,,125,18,143,125,18,143,22,0.131719,0.154466,0.005153,0.040306,2,0.131139
110089,,,15,5,20,15,5,20,23,0.127123,0.150056,0.000127,0.036842,2,0.012589
9806540,,,124,6,130,124,6,130,32,0.067086,0.081463,0.000366,0.060167,2,0.426634
8334,,,20,40,60,20,40,60,21,0.148009,0.187653,0.003238,0.036723,2,0.017186
9808272,,,101,10,111,101,10,111,32,0.068238,0.088033,0.000334,0.056183,2,0.23872
105297,,,9,6,15,9,6,15,22,0.12643,0.148185,0.000008,0.166667,2,0.006977
110307,,,16,36,52,16,36,52,21,0.148242,0.177,0.001532,0.102941,2,0.01901
103318,,,14,16,30,14,16,30,25,0.105293,0.133089,0.00027,0.114943,2,0.023456
109017,,,12,29,41,12,29,41,22,0.142867,0.168649,0.002362,0.09359,2,0.014241
9912475,,,4,6,10,4,6,10,28,0.087492,0.108021,0.000877,0.177778,13,0.005744
10335,,,3,13,16,3,13,16,25,0.104988,0.127289,0.000198,0.170833,2,0.004187
9810467,,,16,7,23,16,7,23,33,0.064004,0.079826,0.000038,0.075099,2,0.041271
9808293,,,145,7,152,145,7,152,24,0.093779,0.113341,0.004808,0.059647,2,0.391861
9904297,,,19,15,34,19,15,34,25,0.099783,0.123564,0.000435,0.114082,2,0.031963
111150,,,43,44,87,43,44,87,22,0.142141,0.172229,0.001439,0.0695,2,0.039151
9806387,,,205,12,217,205,12,217,31,0.071875,0.09093,0.005094,0.048088,2,0.688983
9806518,,,11,3,14,11,3,14,34,0.058482,0.065941,0.000005,0.126374,2,0.015317
9909431,,,3,8,11,3,8,11,26,0.087893,0.104841,0.000001,0.163636,2,0.004896
9909304,,,30,19,49,30,19,49,24,0.099206,0.126854,0.000361,0.08631,2,0.043376
9807353,,,115,10,125,115,10,125,32,0.068278,0.088029,0.000168,0.074323,2,0.327182
9812475,,,89,40,129,89,40,129,25,0.100397,0.128696,0.003662,0.081698,2,0.159786
202077,,,1,19,20,1,19,20,28,0.094037,0.120997,0.000274,0.126316,8,0.000568
9903520,,,16,11,27,16,11,27,31,0.071367,0.088133,0.000228,0.115385,8,0.012455
9603397,,,25,1,26,25,1,26,39,0.046501,0.052302,0.000839,0.073846,8,0.025375
10345,,,3,4,7,3,4,7,32,0.067562,0.08292,0.000001,0.142857,8,0.001813
9706410,,,29,4,33,29,4,33,36,0.053185,0.060524,0.000089,0.189394,8,0.06746
9509239,,,38,1,39,38,1,39,39,0.046488,0.052075,0.000996,0.070175,8,0.035571
9906284,,,9,14,23,9,14,23,33,0.063568,0.07915,0.000011,0.167984,8,0.006007
9902318,,,9,2,11,9,2,11,36,0.05318,0.060379,0,0.209091,8,0.008391
9705264,,,32,2,34,32,2,34,36,0.053121,0.059951,0.000002,0.146168,8,0.063722
9906546,,,8,18,26,8,18,26,31,0.072875,0.096372,0.001239,0.132308,8,0.005851
9612435,,,4,3,7,4,3,7,32,0.065959,0.075704,0,0.309524,8,0.00244
106037,,,3,27,30,3,27,30,28,0.091011,0.121229,0.000162,0.096552,8,0.001703
9912534,,,5,10,15,5,10,15,33,0.064294,0.081363,0.000007,0.090476,8,0.002956
2071,,,16,14,30,16,14,30,31,0.072922,0.094562,0.000176,0.113793,8,0.014611
9812478,,,12,4,16,12,4,16,32,0.066352,0.078222,0.000011,0.183333,8,0.009542
9709499,,,39,5,44,39,5,44,36,0.053196,0.060399,0.000651,0.081395,8,0.037346
9906204,,,3,7,10,3,7,10,34,0.059724,0.071211,0.000052,0.088889,8,0.004029
108061,,,2,12,14,2,12,14,29,0.084076,0.107148,0.00003,0.192308,8,0.001135
9612318,,,20,4,24,20,4,24,31,0.070529,0.082616,0.000547,0.086957,8,0.017176
108095,,,1,20,21,1,20,21,27,0.10135,0.131252,0.000107,0.178571,8,0.000568
9802431,,,10,10,20,10,10,20,34,0.059918,0.072923,0.000139,0.181579,11,0.007827
9612353,,,19,11,30,19,11,30,39,0.046527,0.053459,0.000096,0.172414,12,0.029152
9708350,,,18,11,29,18,11,29,34,0.060281,0.074584,0.000238,0.166256,11,0.016247
9703358,,,42,6,48,42,6,48,34,0.060228,0.073528,0.000543,0.076781,11,0.055035
9702408,,,16,5,21,16,5,21,34,0.059312,0.069132,0.000334,0.085714,1,0.016193
9703305,,,30,3,33,30,3,33,34,0.059181,0.06786,0.000029,0.127841,11,0.034382
9703359,,,16,11,27,16,11,27,33,0.062991,0.074889,0.000673,0.119658,11,0.019352
9610267,,,14,2,16,14,2,16,34,0.059284,0.068703,0.000092,0.141667,1,0.016106
9710413,,,13,8,21,13,8,21,39,0.046549,0.053477,0.000094,0.135714,1,0.015223
9709358,,,6,2,8,6,2,8,35,0.056517,0.066244,0.000002,0.214286,11,0.00731
9705295,,,18,6,24,18,6,24,34,0.0598,0.07164,0.000034,0.186594,11,0.019917
109242,,,11,24,35,11,24,35,19,0.138653,0.162887,0.000024,0.230847,3,0.010751
9905474,,,60,15,75,60,15,75,25,0.101382,0.125132,0.000698,0.132252,3,0.079406
9905221,,,212,15,227,212,15,227,26,0.091497,0.110166,0.000955,0.034599,3,0.252853
1031,,,22,15,37,22,15,37,24,0.110449,0.137718,0.000565,0.144895,3,0.021167
9904267,,,72,11,83,72,11,83,26,0.091146,0.109154,0.000246,0.115339,3,0.134566
2257,,,19,21,40,19,21,40,24,0.117316,0.149357,0.000615,0.147099,3,0.01792
110163,,,11,11,22,11,11,22,19,0.140247,0.162254,0.000149,0.321429,3,0.009509
11097,,,11,26,37,11,26,37,23,0.118944,0.156105,0.004636,0.155462,3,0.011472
107119,,,15,2,17,15,2,17,26,0.100623,0.121725,0,0.400735,3,0.015703
108060,,,15,5,20,15,5,20,26,0.100681,0.12211,0.000117,0.313158,3,0.013853
9807264,,,47,8,55,47,8,55,23,0.114837,0.137314,0.056853,0.054882,3,0.057224
103201,,,10,8,18,10,8,18,26,0.092668,0.111496,0.000067,0.245098,3,0.008673
9812260,,,23,6,29,23,6,29,33,0.064267,0.081904,0.000115,0.114532,3,0.027535
109287,,,10,23,33,10,23,33,19,0.143055,0.167567,0.000168,0.225806,3,0.009541
106219,,,26,8,34,26,8,34,25,0.111823,0.143387,0.000341,0.248106,3,0.026812
109106,,,15,15,30,15,15,30,20,0.140383,0.168685,0.000267,0.23908,3,0.014453
9804398,,,377,1,378,377,1,378,46,0.035118,0.03755,0.000478,0.032581,3,0.979233
110127,,,13,13,26,13,13,26,19,0.141761,0.170038,0.000223,0.273333,3,0.011094
9807344,,,315,4,319,315,4,319,35,0.056964,0.067994,0.000286,0.040348,3,0.801725
102065,,,11,14,25,11,14,25,24,0.118015,0.151567,0.001136,0.115,3,0.009292
9903282,,,149,21,170,149,21,170,31,0.071799,0.092008,0.003779,0.021267,8,0.139087
110067,,,6,12,18,6,12,18,24,0.104201,0.127095,0.000098,0.284314,3,0.005333
